Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE),soil_water,soil_carbon,soil_density,soil_type,gdd,ehdd,ecdd,average_price,year_open,year_high,year_low,year_close
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,WHEAT,8300,5900,65.3,22,0.4,1550,Silt loam,1906.7,0,458,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,GREENE,55,WHEAT,9500,8700,55.3,21,0.4,1550,Silt loam,1906.7,0,458,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,WHEAT,6800,6000,56.7,20,0.4,1570,Sandy clay loam,2099.2,0,411.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,JACKSON,67,WHEAT,17100,16000,54.7,21,0.4,1570,Sandy clay loam,2067.9,0,468.7,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,WHEAT,6200,5700,48.6,21,0.4,1570,Sandy clay loam,1670.7,0,431.1,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,WHEAT,56100,52000,65.4,29,0.4,1580,Sandy clay loam,2039.2,0,466.8,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,POINSETT,111,WHEAT,19400,17700,52.6,23,0.4,1570,Sandy clay loam,1906.7,0,458,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,WHEAT,1700,1300,53.8,21,0.4,1550,Silt loam,1670.7,0,431.1,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,WHEAT,5600,5000,63,22,0.4,1540,Silt loam,2192.6,0,121.8,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,DESHA,41,WHEAT,7800,7000,61.4,27,0.6,1570,Sandy clay loam,2499.5,0,216.3,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,WHEAT,17000,16200,70.1,23,0.4,1560,Silt loam,2193.8,0,274.2,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,WHEAT,6800,5800,52.9,23,0.4,1560,Silt loam,2193.8,0,274.2,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,WEST CENTRAL,40,CRAWFORD,33,WHEAT,2900,1000,72,23,0.4,1570,Loam,2317.2,0,328,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,WEST CENTRAL,40,YELL,149,WHEAT,2100,1700,53.2,21,0.4,1550,Loam,2162.6,0,336,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,WHEAT,3500,800,62.5,25,0.4,1530,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,WHEAT,9800,6000,63.3,26,0.4,1530,Clay loam,2964.7,1,21.6,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,WHEAT,9400,3000,53.3,22,0.4,1610,Sandy clay loam,29.1,0,0,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,WHEAT,5700,3000,50,22,0.4,1590,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,WHEAT,14000,13000,60,23,0.4,1580,Sandy clay loam,2620.6,0,17.2,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,WHEAT,8000,4000,80,27,0.4,1520,Clay loam,2279,0.3,32.6,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,WHEAT,25800,22000,70.5,24,0.4,1580,Clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,WHEAT,34000,10700,102.8,22,0.4,1580,Loam,3085,2.7,18.3,5.8908,5.97,7.39,4.74,5.895
2014,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,WHEAT,21000,10000,105,25,0.4,1550,Clay loam,2972.2,0,20.6,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ADAMS,1,WHEAT,153000,140000,47.9,21,0.2,1460,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ARAPAHOE,5,WHEAT,83000,75800,27.3,21,0.2,1460,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,CHEYENNE,17,WHEAT,245000,197000,24,21,0.2,1470,Sandy clay loam,2038,0,846.1,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,DOUGLAS,35,WHEAT,1600,1400,42.9,22,0.4,1440,Loam,1947.2,0,776.7,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIOWA,61,WHEAT,300500,211500,17.3,21,0.2,1470,Sandy clay loam,2526.8,2.6,722.4,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIT CARSON,63,WHEAT,328000,295000,40.9,21,0.4,1460,Sandy clay loam,2038,0,846.1,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,LINCOLN,73,WHEAT,163000,130600,35.3,21,0.4,1460,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,PHILLIPS,95,WHEAT,109000,107200,49,21,0.4,1470,Loam,1697.3,0,619.6,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,WHEAT,290000,276000,47.1,21,0.2,1460,Sandy clay loam,1645.4,0,1055.7,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,YUMA,125,WHEAT,143000,137500,60.6,21,0.4,1470,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LARIMER,69,WHEAT,6100,5500,49.6,21,0.4,1450,Sandy clay loam,1573.6,0,610.4,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LOGAN,75,WHEAT,111000,104800,47.1,22,0.4,1460,Loam,1574.2,0,828.1,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,MORGAN,87,WHEAT,66600,64100,58.2,21,0.4,1470,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,SEDGWICK,115,WHEAT,84500,75700,51.6,22,0.2,1470,Loam,1697.3,0,619.6,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,WELD,123,WHEAT,130000,123400,51.7,21,0.4,1460,Sandy clay loam,436.1,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,LAS ANIMAS,71,WHEAT,3900,3400,6.2,22,0.4,1460,Loam,2339.5,0,585.2,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,OTERO,89,WHEAT,5900,5300,48.7,23,0.4,1480,Sandy clay loam,2597.9,1,634.9,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,PUEBLO,101,WHEAT,2400,900,22.2,21,0.2,1480,Loam,2435.2,0,687.1,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,DOLORES,33,WHEAT,16600,16200,19.7,21,0.4,1430,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,LA PLATA,67,WHEAT,1700,1300,11.2,21,0.4,1440,Loam,1579.9,0,758.1,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MESA,77,WHEAT,2100,2100,131,20,0.4,1510,Loam,2286,0,908.6,5.8908,5.97,7.39,4.74,5.895
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,WHEAT,7300,7100,32.4,22,0.4,1430,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,BLECKLEY,23,WHEAT,5600,4600,52.4,18,0.4,1580,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,JOHNSON,167,WHEAT,3700,3400,42.9,15,0.4,1570,Sandy loam,1841.1,0,63.2,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,LAURENS,175,WHEAT,8900,7100,33.4,17,0.4,1560,Silt loam,2094.3,0,68.8,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,MORGAN,211,WHEAT,2400,2300,63.9,18,0.4,1530,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,NEWTON,217,WHEAT,1200,1000,44.4,18,0.4,1530,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PULASKI,235,WHEAT,6700,6400,48.4,18,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PUTNAM,237,WHEAT,1800,1550,48.4,18,0.6,1530,Sandy clay loam,2062.2,0,67.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WASHINGTON,303,WHEAT,8000,5800,49.1,15,0.4,1580,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WILKINSON,319,WHEAT,800,800,44.4,21,0.4,1520,Sandy clay loam,2394.2,0,112.8,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BULLOCH,31,WHEAT,4300,3300,49.4,15,0.4,1580,Sandy loam,2132.3,0,64.4,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BURKE,33,WHEAT,6300,6300,56.5,15,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JEFFERSON,163,WHEAT,12300,12100,52.1,15,0.4,1580,Silt loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JENKINS,165,WHEAT,1700,1550,64,16,0.4,1560,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,SCREVEN,251,WHEAT,3600,3500,48.9,14,0.4,1570,Sandy loam,1995.4,0,41.4,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,WHEAT,1500,1350,26.1,20,0.6,1530,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,FRANKLIN,119,WHEAT,1200,700,47.1,23,0.6,1510,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,HART,147,WHEAT,1200,900,58.9,22,0.4,1520,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,MADISON,195,WHEAT,1300,1000,48,21,0.4,1500,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,BROOKS,27,WHEAT,5100,3300,46.4,18,0.4,1520,Sandy loam,3282.5,0.8,19.9,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,COLQUITT,71,WHEAT,3500,1800,41.7,18,0.4,1550,Sandy loam,2113.9,0,24,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,DOOLY,93,WHEAT,10200,9900,53.7,19,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,TURNER,287,WHEAT,2400,1400,47.3,17,0.4,1560,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WILCOX,315,WHEAT,3100,1700,48.8,16,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WORTH,321,WHEAT,6700,4700,42.3,17,0.4,1560,Sandy loam,2817.1,0,49.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,APPLING,1,WHEAT,5400,4200,59.8,16,0.4,1580,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,PIERCE,229,WHEAT,1900,1850,47.7,17,0.4,1550,Loamy sand,1362.3,0.5,10.2,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TATTNALL,267,WHEAT,900,800,51.9,17,0.4,1560,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TOOMBS,279,WHEAT,2200,2150,54.4,16,0.4,1580,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,WAYNE,305,WHEAT,1500,1500,44.3,17,0.4,1590,Sandy loam,1772.9,0,36.9,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,CALHOUN,37,WHEAT,6500,6000,60,21,0.4,1560,Silt loam,2133,0,62.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,CLAY,61,WHEAT,3500,2100,57.1,20,0.4,1560,Sandy loam,2133,0,62.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,DECATUR,87,WHEAT,4800,2200,70.5,17,0.4,1540,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,EARLY,99,WHEAT,8300,7200,45.4,20,0.4,1560,Silt loam,2133,0,62.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,LEE,177,WHEAT,7800,6700,38.8,19,0.4,1550,Silt loam,2057.2,0,67.6,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,MILLER,201,WHEAT,8400,6900,49.4,19,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,MITCHELL,205,WHEAT,5300,4200,41.4,18,0.4,1580,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,RANDOLPH,243,WHEAT,8700,7000,64.6,17,0.4,1580,Silt loam,2539.1,0,78.1,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,SEMINOLE,253,WHEAT,4400,4200,43.3,21,0.4,1570,Sandy loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,TERRELL,273,WHEAT,8800,5900,58.5,16,0.4,1590,Silt loam,2817.1,0,49.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,COWETA,77,WHEAT,800,750,53.6,19,0.6,1480,Sandy clay loam,1783.6,0,135.3,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,LAMAR,171,WHEAT,2300,1870,66.8,19,0.6,1500,Loam,1941,0,102.6,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,MACON,193,WHEAT,7800,6100,42.6,15,0.4,1610,Silt loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,PIKE,231,WHEAT,1100,900,46.7,20,0.6,1500,Sandy clay loam,1893.4,0,85.8,5.8908,5.97,7.39,4.74,5.895
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,TAYLOR,269,WHEAT,3100,3000,20.4,16,0.4,1570,Silt loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,BANNOCK,5,WHEAT,20000,17600,57.7,24,0.6,1390,Loam,2322.7,0,869,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,CARIBOU,29,WHEAT,20500,19800,54.8,25,0.8,1360,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,FREMONT,43,WHEAT,5300,5000,83,24,0.8,1360,Silt loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,JEFFERSON,51,WHEAT,5700,5000,81,26,1,1400,Loam,1804.9,0,533.6,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,MADISON,65,WHEAT,2500,2300,88.7,25,0.8,1350,Sandy clay loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,POWER,77,WHEAT,62600,58200,70,24,0.6,1400,Loam,2322.7,0,869,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,EAST,90,TETON,81,WHEAT,2800,2200,27.7,26,1,1310,Sandy clay loam,162.8,0,687.4,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,NORTH,10,BENEWAH,9,WHEAT,30300,28400,57.6,27,0.8,1370,Silt loam,2162.9,0,688.6,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,NORTH,10,BOUNDARY,21,WHEAT,12000,11200,82.6,33,1.4,1200,Silt loam,1689.4,0,810.3,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,NORTH,10,IDAHO,49,WHEAT,60100,56400,76.7,28,0.8,1350,Silt loam,2112.3,0,616.9,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,NORTH,10,LATAH,57,WHEAT,70600,66200,71.2,27,0.8,1380,Silt loam,2162.9,0,688.6,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,NORTH,10,LEWIS,61,WHEAT,73000,68800,66.2,29,0.8,1320,Silt loam,1474.1,0,610.5,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,CASSIA,31,WHEAT,47400,45700,93.2,24,0.6,1410,Loam,2191,0,711.6,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,GOODING,47,WHEAT,3000,2700,125.9,23,0.6,1460,Loam,0,0,0,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,JEROME,53,WHEAT,9000,8000,139,24,0.8,1450,Sandy clay loam,2410.5,0,725.2,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,MINIDOKA,67,WHEAT,14300,13800,116.5,24,0.8,1460,Sandy clay loam,2191,0,711.6,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,TWIN FALLS,83,WHEAT,19400,16400,132.2,24,0.6,1430,Loam,2721.8,0,554.8,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ADA,1,WHEAT,3800,3500,111.4,24,0.6,1470,Loam,3029.7,4.9,627.8,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,CANYON,27,WHEAT,21400,20900,119,24,0.6,1490,Loam,2272.6,0,447.9,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ELMORE,39,WHEAT,10900,9400,90,23,0.6,1440,Loam,2630.8,2.4,628.3,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,OWYHEE,73,WHEAT,9800,9300,104.8,23,0.6,1450,Loam,2630.8,2.4,628.3,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,PAYETTE,75,WHEAT,3700,3500,98.6,24,0.6,1470,Sandy clay loam,2967.4,6.6,765.1,5.8908,5.97,7.39,4.74,5.895
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,WASHINGTON,87,WHEAT,5600,4700,85.2,28,0.6,1380,Sandy clay loam,2967.4,6.6,765.1,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MARSHALL,123,WHEAT,1200,900,74.4,22,0.6,1520,Silt loam,1203.4,0,751.2,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MASON,125,WHEAT,3400,2700,49.6,21,0.4,1520,Silt loam,1980.2,0,1089,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,TAZEWELL,179,WHEAT,2300,2050,59,21,0.6,1530,Silt loam,1879.5,0,1243.4,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,WOODFORD,203,WHEAT,1600,1200,56.1,22,0.6,1520,Silt loam,1203.4,0,751.2,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,CHAMPAIGN,19,WHEAT,2500,2200,80,22,0.6,1500,Silt loam,1837.2,0,1164.3,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,IROQUOIS,75,WHEAT,6700,4150,74,22,0.8,1530,Sandy clay loam,1408.3,0,1260.9,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,LIVINGSTON,105,WHEAT,8100,4050,69.6,22,0.8,1490,Sandy clay loam,1261.6,0,1066.3,5.8908,5.97,7.39,4.74,5.895
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,VERMILION,183,WHEAT,3900,3100,75.8,22,0.6,1530,Silt loam,1298.8,0,1096.2,5.8908,5.97,7.39,4.74,5.895
