Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,WHEAT,"4,300","4,200"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,SALINE,165,WHEAT,"1,000",900
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WABASH,185,WHEAT,"3,900","3,750"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WAYNE,191,WHEAT,"12,000","11,500"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WHITE,193,WHEAT,"11,500","11,400"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,WHEAT,"32,200","31,600"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,WHEAT,"19,400","19,200"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,MONROE,133,WHEAT,"28,500","28,300"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,PERRY,145,WHEAT,"29,000","28,800"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,RANDOLPH,157,WHEAT,"35,100","34,900"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,ST CLAIR,163,WHEAT,"25,100","25,000"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,UNION,181,WHEAT,"2,400","2,300"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,WASHINGTON,189,WHEAT,"52,700","51,600"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST,30,BROWN,9,WHEAT,600,550
2015,28-Sep,19-Jul,ILLINOIS,17,WEST,30,HENDERSON,71,WHEAT,800,480
2015,28-Sep,19-Jul,ILLINOIS,17,WEST,30,KNOX,95,WHEAT,"1,100","1,050"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST,30,SCHUYLER,169,WHEAT,"1,100","1,000"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST,30,WARREN,187,WHEAT,900,120
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,WHEAT,"1,200","1,100"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,WHEAT,"1,900","1,800"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,WHEAT,"4,900","4,700"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,WHEAT,"18,500","17,600"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MONTGOMERY,135,WHEAT,"6,100","5,650"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MORGAN,137,WHEAT,"1,100","1,000"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,PIKE,149,WHEAT,"2,700","2,500"
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,SANGAMON,167,WHEAT,900,800
2015,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,WHEAT,900,700
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,WHEAT,"8,900","8,750"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,BOONE,11,WHEAT,"2,800","2,700"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,DECATUR,31,WHEAT,"5,000","4,800"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,GRANT,53,WHEAT,"2,500","2,150"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HAMILTON,57,WHEAT,"1,800","1,750"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HANCOCK,59,WHEAT,"1,800","1,700"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HENDRICKS,63,WHEAT,"2,000","1,980"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HOWARD,67,WHEAT,"2,000","1,950"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,RUSH,139,WHEAT,"4,500","4,450"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,SHELBY,145,WHEAT,"3,900","3,300"
2015,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,TIPTON,159,WHEAT,"1,300","1,250"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,WHEAT,"2,100","1,880"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,FAYETTE,41,WHEAT,"2,200","2,100"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,HENRY,65,WHEAT,"3,600","3,350"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,JAY,75,WHEAT,"8,800","8,500"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,RANDOLPH,135,WHEAT,"4,800","4,550"
2015,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,WAYNE,177,WHEAT,"2,800","2,700"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,WHEAT,"4,100","3,800"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,CASS,17,WHEAT,"3,100","2,700"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,WHEAT,"2,500","2,300"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,FULTON,49,WHEAT,"1,700","1,200"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,WHEAT,"3,900","3,700"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,WHEAT,"3,100","2,850"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,MIAMI,103,WHEAT,"4,300","4,100"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,WHEAT,"2,100","2,050"
2015,25-Sep,25-Jul,INDIANA,18,NORTH CENTRAL,20,WABASH,169,WHEAT,"3,700","3,400"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,ADAMS,1,WHEAT,"5,100","4,200"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,ALLEN,3,WHEAT,"7,400","5,400"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,HUNTINGTON,69,WHEAT,"2,900","2,550"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,LAGRANGE,87,WHEAT,"1,500","1,250"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,NOBLE,113,WHEAT,"3,900","3,800"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,WELLS,179,WHEAT,"4,000","3,700"
2015,25-Sep,25-Jul,INDIANA,18,NORTHEAST,30,WHITLEY,183,WHEAT,"6,400","6,350"
2015,25-Sep,25-Jul,INDIANA,18,NORTHWEST,10,LA PORTE,91,WHEAT,"7,500","7,050"
2015,25-Sep,25-Jul,INDIANA,18,NORTHWEST,10,LAKE,89,WHEAT,"1,300","1,250"
2015,25-Sep,25-Jul,INDIANA,18,NORTHWEST,10,PORTER,127,WHEAT,"2,000","1,800"
2015,25-Sep,25-Jul,INDIANA,18,NORTHWEST,10,STARKE,149,WHEAT,"1,100",500
2015,25-Sep,25-Jul,INDIANA,18,NORTHWEST,10,WHITE,181,WHEAT,"2,300","1,700"
2015,25-Sep,25-Jul,INDIANA,18,SOUTH CENTRAL,80,HARRISON,61,WHEAT,"3,100","2,100"
2015,25-Sep,25-Jul,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,WHEAT,"5,100","4,230"
2015,25-Sep,25-Jul,INDIANA,18,SOUTH CENTRAL,80,WASHINGTON,175,WHEAT,"1,400",620
2015,25-Sep,25-Jul,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,WHEAT,"1,900","1,750"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHEAST,90,JENNINGS,79,WHEAT,"3,300","3,200"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHEAST,90,RIPLEY,137,WHEAT,"2,300","1,850"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,DAVIESS,27,WHEAT,"3,200","1,400"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,DUBOIS,37,WHEAT,"5,200","3,000"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,GIBSON,51,WHEAT,"16,800","16,000"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,GREENE,55,WHEAT,"1,100",650
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,KNOX,83,WHEAT,"11,700","10,900"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,MARTIN,101,WHEAT,800,800
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,PIKE,125,WHEAT,"1,700","1,650"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,POSEY,129,WHEAT,"20,000","19,300"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,SULLIVAN,153,WHEAT,"2,900","2,600"
2015,25-Sep,25-Jul,INDIANA,18,SOUTHWEST,70,WARRICK,173,WHEAT,"4,200","3,800"
2015,25-Sep,25-Jul,INDIANA,18,WEST CENTRAL,40,CLAY,21,WHEAT,600,550
2015,25-Sep,25-Jul,INDIANA,18,WEST CENTRAL,40,MONTGOMERY,107,WHEAT,"1,700","1,650"
2015,25-Sep,25-Jul,INDIANA,18,WEST CENTRAL,40,PARKE,121,WHEAT,"2,000","1,600"
2015,25-Sep,25-Jul,INDIANA,18,WEST CENTRAL,40,TIPPECANOE,157,WHEAT,"3,500","3,350"
2015,25-Sep,25-Jul,INDIANA,18,WEST CENTRAL,40,VIGO,167,WHEAT,"1,300","1,250"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,BARTON,9,WHEAT,"158,500","157,230"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,DICKINSON,41,WHEAT,"140,000","139,500"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,ELLIS,51,WHEAT,"96,000","94,500"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,ELLSWORTH,53,WHEAT,"83,600","82,400"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,MARION,115,WHEAT,"127,400","126,500"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,MCPHERSON,113,WHEAT,"210,900","210,330"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,RUSH,165,WHEAT,"110,900","109,320"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,RUSSELL,167,WHEAT,"74,400","70,300"
2015,10-Sep,15-Jul,KANSAS,20,CENTRAL,50,SALINE,169,WHEAT,"121,000","120,280"
2015,10-Sep,15-Jul,KANSAS,20,EAST CENTRAL,80,ANDERSON,3,WHEAT,"15,400","14,900"
2015,10-Sep,15-Jul,KANSAS,20,EAST CENTRAL,80,CHASE,17,WHEAT,"10,500","10,400"
2015,10-Sep,15-Jul,KANSAS,20,EAST CENTRAL,80,COFFEY,31,WHEAT,"16,700","16,500"
2015,10-Sep,15-Jul,KANSAS,20,EAST CENTRAL,80,DOUGLAS,45,WHEAT,"4,600","4,220"
2015,10-Sep,15-Jul,KANSAS,20,EAST CENTRAL,80,FRANKLIN,59,WHEAT,"14,400","14,300"
